ID	Protein_ID	Protein_description	Length	Rank	BLAST	Best_hit	Hit length	Coverage	Identity	SVM	HMM
1	NODE_107_length_14403_cov_10.7552_00007	+1 6463-7536 len=358	358	Rank1	YES	Cry6Aa3	475	73.26	29.02	NO	NO
2	NODE_146_length_9906_cov_325.177_00006	+2 8228-9022 len=265	265	Rank1	YES	Vip2Ba1	451	48.12	32.26	NO	NO
3	NODE_176_length_7098_cov_12.7488_00001	-1 4687-6756 len=690	690	Rank2	YES	Cry19Ba1	682	96.63	56.75	YES	YES
4	NODE_176_length_7098_cov_12.7488_00002	-2 2958-4637 len=560	560	Rank2	YES	Cry4Ca1	1230	46.59	71.38	YES	YES
5	NODE_182_length_6692_cov_36.7925_00001	-2 2519-6202 len=1228	1228	Rank3	YES	Cry4Ca1	1230	99.43	92.64	YES	YES
6	NODE_214_length_5113_cov_31.1595_00002	+3 363-4148 len=1262	1262	Rank3	YES	Cry4Aa4	1180	100.85	80.34	YES	YES
7	NODE_218_length_4805_cov_13.8278_00001	-3 694-4263 len=1190	1190	Rank2	YES	Cry4Ca1	1230	98.62	52.43	YES	YES
8	NODE_240_length_3708_cov_22.7106_00002	+1 64-2454 len=797	797	Rank2	YES	Cry11Bb2	792	99.62	64.89	YES	YES
9	NODE_313_length_1947_cov_29.7579_00001	+3 504-1946 len=481	481	Rank2	YES	Cry11Bb1	750	64.27	73.03	NO	YES
10	NODE_96_length_15590_cov_50.5941_00002	-1 384-1388 len=335	335	Rank1	NO	NO	NO	NO	NO	YES	NO
